CaVal,points,MaxI
3.5e-11,0,0
3.741854636591479e-11,0,0
3.9837092731829574e-11,0,0
4.2255639097744367e-11,0,0
4.467418546365915e-11,0,0
4.709273182957394e-11,0,0
4.9511278195488725e-11,0,0
5.192982456140351e-11,0,0
5.43483709273183e-11,0,0
5.6766917293233083e-11,0,0
5.918546365914787e-11,0,0
6.160401002506267e-11,0,0
6.402255639097744e-11,0,0
6.644110275689224e-11,0,0
6.885964912280703e-11,0,0
7.127819548872181e-11,0,0
7.36967418546366e-11,0,0
7.611528822055138e-11,0,0
7.853383458646617e-11,216,0.16189244302291328
8.095238095238096e-11,0,0
8.337092731829576e-11,0,0
8.578947368421053e-11,0,0
8.820802005012533e-11,0,0
9.06265664160401e-11,0,0
9.30451127819549e-11,0,0
9.546365914786967e-11,0,0
9.788220551378447e-11,0,0
1.0030075187969927e-10,0,0
1.0271929824561404e-10,0,0
1.0513784461152884e-10,0,0
1.0755639097744362e-10,0,0
1.0997493734335842e-10,0,0
1.1239348370927319e-10,0,0
1.1481203007518799e-10,0,0
1.1723057644110276e-10,0,0
1.1964912280701756e-10,0,0
1.2206766917293233e-10,0,0
1.2448621553884713e-10,0,0
1.2690476190476193e-10,0,0
1.293233082706767e-10,0,0
1.317418546365915e-10,0,0
1.3416040100250628e-10,0,0
1.3657894736842108e-10,0,0
1.3899749373433585e-10,0,0
1.4141604010025065e-10,0,0
1.4383458646616542e-10,0,0
1.4625313283208022e-10,0,0
1.48671679197995e-10,0,0
1.510902255639098e-10,0,0
1.535087719298246e-10,0,0
1.5592731829573936e-10,0,0
1.5834586466165416e-10,0,0
1.6076441102756894e-10,0,0
1.6318295739348374e-10,0,0
1.6560150375939854e-10,0,0
1.680200501253133e-10,0,0
1.704385964912281e-10,0,0
1.7285714285714288e-10,0,0
1.7527568922305768e-10,0,0
1.7769423558897245e-10,0,0
1.8011278195488725e-10,0,0
1.8253132832080203e-10,0,0
1.8494987468671682e-10,0,0
1.873684210526316e-10,0,0
1.897869674185464e-10,0,0
1.922055137844612e-10,0,0
1.9462406015037597e-10,0,0
1.9704260651629077e-10,0,0
1.9946115288220554e-10,0,0
2.0187969924812034e-10,0,0
2.042982456140351e-10,0,0
2.067167919799499e-10,0,0
2.0913533834586469e-10,0,0
2.1155388471177948e-10,0,0
2.1397243107769426e-10,0,0
2.1639097744360906e-10,0,0
2.1880952380952386e-10,0,0
2.2122807017543863e-10,0,0
2.2364661654135343e-10,0,0
2.260651629072682e-10,0,0
2.28483709273183e-10,0,0
2.3090225563909777e-10,0,0
2.3332080200501257e-10,0,0
2.3573934837092735e-10,0,0
2.381578947368421e-10,0,0
2.405764411027569e-10,0,0
2.429949874686717e-10,0,0
2.454135338345865e-10,0,0
2.4783208020050126e-10,0,0
2.502506265664161e-10,0,0
2.5266917293233086e-10,0,0
2.5508771929824563e-10,0,0
2.575062656641604e-10,0,0
2.5992481203007523e-10,0,0
2.6234335839599e-10,0,0
2.647619047619048e-10,0,0
2.6718045112781955e-10,0,0
2.695989974937344e-10,0,0
2.7201754385964915e-10,0,0
2.744360902255639e-10,0,0
2.768546365914787e-10,0,0
2.792731829573935e-10,0,0
2.816917293233083e-10,0,0
2.8411027568922307e-10,0,0
2.8652882205513784e-10,0,0
2.8894736842105267e-10,0,0
2.9136591478696744e-10,0,0
2.937844611528822e-10,0,0
2.9620300751879704e-10,0,0
2.986215538847118e-10,0,0
3.010401002506266e-10,0,0
3.0345864661654136e-10,0,0
3.058771929824562e-10,0,0
3.0829573934837095e-10,0,0
3.1071428571428573e-10,0,0
3.131328320802005e-10,0,0
3.155513784461153e-10,0,0
3.179699248120301e-10,0,0
3.2038847117794487e-10,0,0
3.228070175438597e-10,0,0
3.2522556390977447e-10,0,0
3.2764411027568924e-10,0,0
3.30062656641604e-10,0,0
3.3248120300751884e-10,0,0
3.348997493734336e-10,0,0
3.373182957393484e-10,0,0
3.3973684210526316e-10,0,0
3.42155388471178e-10,0,0
3.4457393483709276e-10,0,0
3.4699248120300753e-10,0,0
3.4941102756892236e-10,0,0
3.5182957393483713e-10,0,0
3.542481203007519e-10,0,0
3.566666666666667e-10,0,0
3.590852130325815e-10,0,0
3.6150375939849627e-10,0,0
3.6392230576441105e-10,0,0
3.663408521303258e-10,0,0
3.6875939849624065e-10,0,0
3.711779448621554e-10,0,0
3.735964912280702e-10,0,0
3.76015037593985e-10,0,0
3.784335839598998e-10,0,0
3.8085213032581456e-10,0,0
3.8327067669172934e-10,0,0
3.8568922305764416e-10,0,0
3.8810776942355893e-10,0,0
3.905263157894737e-10,0,0
3.929448621553885e-10,0,0
3.953634085213033e-10,0,0
3.977819548872181e-10,0,0
4.0020050125313285e-10,0,0
4.026190476190477e-10,0,0
4.0503759398496245e-10,0,0
4.074561403508772e-10,0,0
4.09874686716792e-10,0,0
4.122932330827068e-10,0,0
4.147117794486216e-10,0,0
4.1713032581453637e-10,0,0
4.1954887218045114e-10,0,0
4.2196741854636597e-10,0,0
4.2438596491228074e-10,0,0
4.268045112781955e-10,0,0
4.2922305764411034e-10,0,0
4.316416040100251e-10,0,0
4.340601503759399e-10,0,0
4.3647869674185466e-10,0,0
4.388972431077695e-10,0,0
4.4131578947368425e-10,0,0
4.4373433583959903e-10,0,0
4.461528822055138e-10,0,0
4.485714285714286e-10,0,0
4.509899749373434e-10,0,0
4.5340852130325817e-10,0,0
4.55827067669173e-10,0,0
4.5824561403508777e-10,0,0
4.6066416040100254e-10,0,0
4.630827067669173e-10,0,0
4.6550125313283214e-10,0,0
4.67919799498747e-10,0,0
4.703383458646617e-10,0,0
4.727568922305765e-10,0,0
4.751754385964913e-10,0,0
4.775939849624061e-10,0,0
4.800125313283208e-10,0,0
4.824310776942357e-10,0,0
4.848496240601505e-10,0,0
4.872681704260653e-10,0,0
4.8968671679198e-10,0,0
4.921052631578948e-10,0,0
4.945238095238096e-10,0,0
4.969423558897243e-10,0,0
4.993609022556391e-10,0,0
5.017794486215539e-10,0,0
5.041979949874688e-10,0,0
5.066165413533835e-10,0,0
5.090350877192983e-10,0,0
5.114536340852131e-10,0,0
5.138721804511279e-10,0,0
5.162907268170426e-10,0,0
5.187092731829574e-10,0,0
5.211278195488722e-10,0,0
5.235463659147871e-10,0,0
5.259649122807018e-10,0,0
5.283834586466166e-10,0,0
5.308020050125314e-10,0,0
5.332205513784462e-10,0,0
5.356390977443609e-10,0,0
5.380576441102757e-10,0,0
5.404761904761906e-10,0,0
5.428947368421053e-10,0,0
5.453132832080201e-10,0,0
5.477318295739349e-10,0,0
5.501503759398497e-10,0,0
5.525689223057644e-10,0,0
5.549874686716792e-10,0,0
5.574060150375941e-10,0,0
5.598245614035089e-10,0,0
5.622431077694236e-10,0,0
5.646616541353384e-10,0,0
5.670802005012532e-10,0,0
5.69498746867168e-10,0,0
5.719172932330827e-10,0,0
5.743358395989975e-10,0,0
5.767543859649124e-10,0,0
5.791729323308272e-10,0,0
5.815914786967419e-10,0,0
5.840100250626567e-10,0,0
5.864285714285715e-10,0,0
5.888471177944862e-10,0,0
5.91265664160401e-10,0,0
5.936842105263159e-10,0,0
5.961027568922307e-10,0,0
5.985213032581454e-10,0,0
6.009398496240602e-10,0,0
6.03358395989975e-10,0,0
6.057769423558898e-10,0,0
6.081954887218045e-10,0,0
6.106140350877194e-10,0,0
6.130325814536342e-10,0,0
6.15451127819549e-10,0,0
6.178696741854637e-10,0,0
6.202882205513785e-10,0,0
6.227067669172933e-10,0,0
6.25125313283208e-10,0,0
6.275438596491228e-10,0,0
6.299624060150377e-10,0,0
6.323809523809525e-10,0,0
6.347994987468672e-10,0,0
6.37218045112782e-10,0,0
6.396365914786968e-10,0,0
6.420551378446116e-10,0,0
6.444736842105263e-10,0,0
6.468922305764412e-10,0,0
6.49310776942356e-10,0,0
6.517293233082708e-10,0,0
6.541478696741855e-10,0,0
6.565664160401003e-10,0,0
6.589849624060151e-10,0,0
6.614035087719299e-10,0,0
6.638220551378447e-10,0,0
6.662406015037595e-10,0,0
6.686591478696743e-10,0,0
6.71077694235589e-10,0,0
6.734962406015038e-10,0,0
6.759147869674186e-10,0,0
6.783333333333334e-10,0,0
6.807518796992482e-10,0,0
6.83170426065163e-10,0,0
6.855889724310778e-10,0,0
6.880075187969926e-10,0,0
6.904260651629073e-10,0,0
6.928446115288221e-10,0,0
6.952631578947369e-10,0,0
6.976817042606517e-10,0,0
7.001002506265665e-10,0,0
7.025187969924813e-10,0,0
7.049373433583961e-10,0,0
7.073558897243109e-10,0,0
7.097744360902256e-10,0,0
7.121929824561404e-10,0,0
7.146115288220552e-10,0,0
7.1703007518797e-10,0,0
7.194486215538848e-10,0,0
7.218671679197996e-10,0,0
7.242857142857144e-10,0,0
7.267042606516291e-10,0,0
7.291228070175439e-10,0,0
7.315413533834587e-10,0,0
7.339598997493736e-10,0,0
7.363784461152883e-10,0,0
7.387969924812031e-10,0,0
7.412155388471179e-10,0,0
7.436340852130327e-10,0,0
7.460526315789474e-10,0,0
7.484711779448622e-10,0,0
7.50889724310777e-10,0,0
7.533082706766919e-10,0,0
7.557268170426066e-10,0,0
7.581453634085214e-10,0,0
7.605639097744362e-10,0,0
7.629824561403509e-10,0,0
7.654010025062657e-10,0,0
7.678195488721805e-10,0,0
7.702380952380954e-10,0,0
7.726566416040101e-10,0,0
7.750751879699249e-10,0,0
7.774937343358397e-10,0,0
7.799122807017545e-10,0,0
7.823308270676692e-10,0,0
7.84749373433584e-10,0,0
7.871679197994989e-10,0,0
7.895864661654137e-10,0,0
7.920050125313284e-10,0,0
7.944235588972432e-10,0,0
7.96842105263158e-10,0,0
7.992606516290728e-10,0,0
8.016791979949875e-10,0,0
8.040977443609023e-10,0,0
8.065162907268172e-10,0,0
8.089348370927319e-10,0,0
8.113533834586467e-10,0,0
8.137719298245615e-10,0,0
8.161904761904763e-10,0,0
8.18609022556391e-10,0,0
8.210275689223058e-10,0,0
8.234461152882207e-10,0,0
8.258646616541355e-10,0,0
8.282832080200502e-10,0,0
8.30701754385965e-10,0,0
8.331203007518798e-10,0,0
8.355388471177946e-10,0,0
8.379573934837093e-10,0,0
8.403759398496242e-10,0,0
8.42794486215539e-10,0,0
8.452130325814538e-10,0,0
8.476315789473685e-10,0,0
8.500501253132833e-10,0,0
8.524686716791981e-10,0,0
8.548872180451128e-10,0,0
8.573057644110276e-10,0,0
8.597243107769425e-10,0,0
8.621428571428573e-10,0,0
8.64561403508772e-10,0,0
8.669799498746868e-10,0,0
8.693984962406016e-10,0,0
8.718170426065164e-10,0,0
8.742355889724311e-10,0,0
8.76654135338346e-10,0,0
8.790726817042608e-10,0,0
8.814912280701756e-10,0,0
8.839097744360903e-10,0,0
8.863283208020051e-10,0,0
8.887468671679199e-10,0,0
8.911654135338346e-10,0,0
8.935839598997495e-10,0,0
8.960025062656643e-10,0,0
8.984210526315791e-10,0,0
9.008395989974938e-10,0,0
9.032581453634086e-10,0,0
9.056766917293234e-10,0,0
9.080952380952382e-10,0,0
9.105137844611529e-10,0,0
9.129323308270678e-10,0,0
9.153508771929826e-10,0,0
9.177694235588974e-10,0,0
9.201879699248121e-10,0,0
9.226065162907269e-10,0,0
9.250250626566417e-10,0,0
9.274436090225565e-10,0,0
9.298621553884713e-10,0,0
9.322807017543862e-10,0,0
9.34699248120301e-10,0,0
9.371177944862158e-10,0,0
9.395363408521305e-10,0,0
9.419548872180453e-10,0,0
9.4437343358396e-10,0,0
9.467919799498748e-10,0,0
9.492105263157896e-10,0,0
9.516290726817044e-10,0,0
9.540476190476192e-10,0,0
9.56466165413534e-10,0,0
9.588847117794487e-10,0,0
9.613032581453635e-10,0,0
9.637218045112783e-10,0,0
9.661403508771932e-10,0,0
9.685588972431078e-10,0,0
9.709774436090226e-10,0,0
9.733959899749376e-10,0,0
9.758145363408523e-10,0,0
9.782330827067671e-10,0,0
9.806516290726819e-10,0,0
9.830701754385967e-10,0,0
9.854887218045114e-10,0,0
9.879072681704262e-10,0,0
9.90325814536341e-10,0,0
9.927443609022557e-10,0,0
9.951629072681705e-10,0,0
9.975814536340853e-10,0,0
1e-09,0,0
